name	taxid
Acinetobacter baumannii	470
Acinetobacter calcoaceticus	471
Acinetobacter pittii	48296
Actinobaculum massiliense	202789
Actinotignum sanguinis	1445614
Actinotignum schaalii	59505
Aerococcus christensenii	87541
Aerococcus sanguinicola	119206
Aerococcus urinae	1376
Aerococcus viridans	1377
Aeromonas hydrophila	644
Anaerococcus lactolyticus	33032
Anaerococcus vaginalis	33037
Aspergillus flavus	5059
Atopobium vaginae	82135
Bacteroides fragilis	817
Bifidobacterium breve	1685
Burkholderia cepacia	292
Burkholderia cepacia complex	87882
Campylobacter jejuni	197
Candida albicans	5476
Candida dubliniensis	42374
Candida fabianii	36022
Candida glabrata	5478
Candida krusei	4909
Candida lusitaniae	36911
Candida parapsilosis	5480
Candida tropicalis	5482
Chlamydia trachomatis	813
Chromobacterium violaceum	536
Chryseobacterium indologenes	253
Citrobacter freundii	546
Citrobacter koseri	545
Corynebacterium aurimucosum	169292
Corynebacterium coyleae	53374
Corynebacterium genitalium	38288
Corynebacterium glucuronolyticum	39791
Corynebacterium jeikeium	38289
Corynebacterium pseudogenitalium	38303
Corynebacterium renale	1724
Corynebacterium riegelii	156976
Corynebacterium urealyticum	43771
Cryptococcus neoformans	5207
Dialister micraerophilus	309120
Enterobacter cloacae	550
Enterococcus faecalis	1351
Enterococcus faecium	1352
Enterococcus gallinarum	1353
Escherichia coli	562
Finegoldia magna	1260
Fusobacterium necrophorum	859
Fusobacterium nucleatum	851
Gardnerella vaginalis	2702
Haemophilus ducreyi	730
Haemophilus influenzae	727
Haemophilus parainfluenzae	729
Hafnia alvei	569
Klebsiella aerogenes	548
Klebsiella oxytoca	571
Klebsiella pneumoniae	573
Klebsiella quasipneumoniae	1463165
Klebsiella variicola	244366
Kluyvera ascorbata	51288
Lactobacillus acidophilus	1579
Lactobacillus crispatus	47770
Lactobacillus gasseri	1596
Lactobacillus iners	147802
Lactobacillus jensenii	109790
Listeria monocytogenes	1639
Mageeibacillus indolicus	884684
Moraxella catarrhalis	480
Morganella morganii	582
Mycobacterium avium	1764
Mycobacterium gordonae	1778
Mycobacterium kansasii	1768
Mycobacterium marinum	1781
Mycobacterium scrofulaceum	1783
Mycobacterium simiae	1784
Mycobacterium tuberculosis	1773
Mycobacterium xenopi	1789
Mycobacteroides chelonae	1774
Mycoplasma genitalium	2097
Mycoplasma hominis	2098
Neisseria gonorrhoeae	485
Oligella urethralis	90245
Pasteurella multocida	747
Prevotella bivia	28125
Prevotella timonensis	386414
Propionimicrobium lymphophilum	33012
Proteus mirabilis	584
Proteus vulgaris	585
Providencia rettgeri	587
Providencia stuartii	588
Pseudomonas aeruginosa	287
Pseudomonas putida	303
Salmonella enterica	28901
Serratia marcescens	615
Shigella flexneri	623
Shigella sonnei	624
Sneathia amnii	187101
Staphylococcus aureus	1280
Staphylococcus epidermidis	1282
Staphylococcus haemolyticus	1283
Staphylococcus hominis	1290
Staphylococcus intermedius	1285
Staphylococcus lugdunensis	28035
Staphylococcus saprophyticus	29385
Staphylococcus simulans	1286
Staphylococcus warneri	1292
Stenotrophomonas maltophilia	40324
Streptococcus agalactiae	1311
Streptococcus anginosus	1328
Streptococcus constellatus	76860
Streptococcus intermedius	1338
Streptococcus pneumoniae	1313
Treponema pallidum	160
Trichosporon asahii	82508
Trichosporon beigelii	5553
Ureaplasma parvum	134821
Ureaplasma urealyticum	2130
Varibaculum anthropi	1177728
Vibrio cholerae	666
Yersinia enterocolitica	630
Yersinia pseudotuberculosis	633
