name	taxid
Escherichia coli	562
Chlamydia trachomatis	813
Pseudomonas aeruginosa	287
Staphylococcus aureus	1280
Klebsiella pneumoniae	573
Proteus mirabilis	584
Neisseria gonorrhoeae	485
Enterococcus faecalis	1351
Ureaplasma urealyticum	2130
Mycoplasma genitalium	2097
Haemophilus influenzae	727
Mycoplasma hominis	2098
Staphylococcus saprophyticus	29385
Staphylococcus epidermidis	1282
Serratia marcescens	615
Acinetobacter baumannii	470
Enterobacter cloacae	550
Streptococcus agalactiae	1311
Mycobacterium tuberculosis	1773
Enterococcus faecium	1352
Gardnerella vaginalis	2702
Citrobacter freundii	546
Proteus vulgaris	585
Bacteroides fragilis	817
Klebsiella oxytoca	571
Ureaplasma parvum	134821
Morganella morganii	582
Corynebacterium urealyticum	43771
Haemophilus parainfluenzae	729
Providencia stuartii	588
Aerococcus urinae	1376
Moraxella catarrhalis	480
Salmonella enterica	28901
Listeria monocytogenes	1639
Stenotrophomonas maltophilia	40324
Treponema pallidum	160
Corynebacterium renale	1724
Staphylococcus haemolyticus	1283
Burkholderia cepacia	292
Pasteurella multocida	747
Acinetobacter calcoaceticus	471
Providencia rettgeri	587
Yersinia enterocolitica	630
Campylobacter jejuni	197
Haemophilus ducreyi	730
Streptococcus anginosus	1328
Citrobacter koseri	545
Enterobacter aerogenes	548
Vibrio cholerae	666
Aerococcus sanguinicola	119206
Proteus penneri	102862
Shigella flexneri	623
Kluyvera ascorbata	51288
Shigella sonnei	624
Actinobaculum schaalii	59505
Aerococcus viridans	1377
Chromobacterium violaceum	536
Fusobacterium nucleatum	851
Hafnia alvei	569
Mycobacterium avium	1764
Aeromonas hydrophila	644
Enterococcus gallinarum	1353
Pseudomonas putida	303
Staphylococcus intermedius	1285
Chryseobacterium indologenes	253
Corynebacterium riegelii	156976
Corynebacterium glucuronolyticum	39791
Fusobacterium necrophorum	859
Staphylococcus lugdunensis	28035
Streptococcus intermedius	1338
Yersinia pseudotuberculosis	633
Corynebacterium jeikeium	38289
Streptococcus constellatus	76860
Corynebacterium genitalium	38288
Mycobacterium kansasii	1768
Oligella urethralis	90245
Staphylococcus warneri	1292
Staphylococcus hominis	1290
Staphylococcus simulans	1286
Mycobacterium gordonae	1778
Mycobacterium xenopi	1789
Streptococcus pneumoniae	1313
Mycobacterium marinum	1781
Mycobacterium simiae	1784
Mycobacterium szulgai	1787
Mycobacterium chelonae	1774
Mycobacterium intracellulare	1767
Mycobacterium scrofulaceum	1783
Candida albicans	5476
Candida glabrata	5478
Candida tropicalis	5482
Candida parapsilosis	5480
Cryptococcus neoformans	5207
Pichia kudriavzevii	4909
Trichosporon asahii	82508
Aspergillus flavus	5059
Trichosporon beigelii	5553
Candida dubliniensis	42374
Clavispora lusitaniae	36911
Cyberlindnera fabianii	36022
